date,portfolio_value
2024-06-27,103568.46108000015
2024-06-28,103141.32108000015
2024-07-01,103347.33108000015
2024-07-02,104059.86108000015
2024-07-03,104488.89108000015
2024-07-05,105147.55608000015
2024-07-08,105245.83608000015
2024-07-09,105363.96108000015
2024-07-10,106378.89108000015
2024-07-11,105467.91108000014
2024-07-12,106127.52108000014
2024-07-15,106431.81108000015
2024-07-16,107057.40108000016
2024-07-17,105589.81608000015
2024-07-18,104783.73108000014
2024-07-19,104054.19108000015
2024-07-22,105133.38108000014
2024-07-23,104951.94108000015
2024-07-24,102593.22108000015
2024-07-25,102060.24108000014
2024-07-26,103185.73608000015
2024-07-29,103292.52108000014
2024-07-30,102736.86108000015
2024-07-31,104324.46108000015
2024-08-01,102965.55108000014
2024-08-02,101026.41108000014
2024-08-05,98093.13108000014
2024-08-06,98975.76108000016
2024-08-07,98326.54608000015
2024-08-08,100589.82108000015
2024-08-09,101026.41108000014
2024-08-12,101096.34108000014
2024-08-13,102740.64108000015
2024-08-14,103078.95108000014
2024-08-15,104815.86108000015
2024-08-16,105052.11108000015
2024-08-19,106048.14108000015
2024-08-20,105889.38108000014
2024-08-21,106265.49108000014
2024-08-22,105437.67108000015
2024-08-23,106539.54108000016
2024-08-26,106291.95108000014
2024-08-27,106440.31608000015
2024-08-28,105832.68108000015
2024-08-29,105825.12108000014
2024-08-30,106819.26108000016
2024-09-03,104662.77108000014
2024-09-04,104411.40108000016
2024-09-05,104148.69108000015
2024-09-06,102451.47108000015
2024-09-09,103581.69108000015
2024-09-10,104020.17108000015
2024-09-11,105054.00108000015
2024-09-12,105966.87108000014
2024-09-13,106501.74108000014
2024-09-16,106686.96108000015
2024-09-17,106739.88108000014
2024-09-18,106407.24108000014
2024-09-19,108221.64108000015
2024-09-20,107662.20108000014
2024-09-23,107958.93108000015
2024-09-24,108268.89108000015
2024-09-25,108031.69608000015
2024-09-26,108444.66108000014
2024-09-27,108299.13108000014
2024-09-30,108799.03608000014
2024-10-01,107771.82108000015
2024-10-02,107813.40108000016
2024-10-03,107611.17108000015
2024-10-04,108589.24608000014
2024-10-07,107618.73108000014
2024-10-08,108637.44108000015
2024-10-09,109370.76108000016
2024-10-10,109206.33108000015
2024-10-11,109848.93108000015
2024-10-14,110739.12108000014
2024-10-15,109909.41108000014
