date,portfolio_value
2023-07-13,99160.25158000004
2023-07-14,99160.25158000004
2023-07-17,99160.25158000004
2023-07-18,99160.25158000004
2023-07-19,99160.25158000004
2023-07-20,99012.02304000003
2023-07-21,99002.07304000005
2023-07-24,99935.96026000004
2023-07-25,100949.79110000003
2023-07-26,101219.28338000004
2023-07-27,100549.52582000002
2023-07-28,102630.25494000004
2023-07-31,102630.25494000004
2023-08-01,102527.93436000004
2023-08-02,102366.36578000005
2023-08-03,102490.26990000004
2023-08-04,101285.60990000004
2023-08-07,101321.24914000004
2023-08-08,101053.97754000005
2023-08-09,100478.47754000005
2023-08-10,100388.48754000003
2023-08-11,100374.43754000004
2023-08-14,100311.45663000003
2023-08-15,99780.97201000003
2023-08-16,99281.03701000003
2023-08-17,98822.30701000002
2023-08-18,98936.75701000003
2023-08-21,98837.91127000001
2023-08-22,98157.31012000002
2023-08-23,98123.62068000002
2023-08-24,97712.05652000003
2023-08-25,98150.41444000002
2023-08-28,98216.44204000002
2023-08-29,98216.44204000002
2023-08-30,98216.44204000002
2023-08-31,98216.44204000002
2023-09-01,98216.44204000002
2023-09-05,98118.28438000003
2023-09-06,97609.07896000001
2023-09-07,97568.14878000002
2023-09-08,97165.44878000002
2023-09-11,97079.47478000002
2023-09-12,96609.11156000002
2023-09-13,96773.57184000002
2023-09-14,96419.95289000002
2023-09-15,96167.10663000002
2023-09-18,96229.50663000002
2023-09-19,96106.01591000003
2023-09-20,94865.13279
2023-09-21,92757.23957
2023-09-22,92963.16957000001
2023-09-25,93652.49217
2023-09-26,93041.89377000002
2023-09-27,92738.84241000001
2023-09-28,93146.67609000001
2023-09-29,93190.24361
2023-10-02,93038.28471
2023-10-03,92945.43979000002
2023-10-04,93192.13444
2023-10-05,92516.74932000002
2023-10-06,92789.02084000001
2023-10-09,94228.12514
2023-10-10,94459.86786000001
2023-10-11,94459.86786000001
2023-10-12,94459.86786000001
2023-10-13,94412.64414000002
2023-10-16,94657.04414000001
2023-10-17,94716.27730000002
2023-10-18,94574.85652000002
2023-10-19,92219.09024
2023-10-20,90605.17024
2023-10-23,91433.82211000002
2023-10-24,92114.65711000001
2023-10-25,91409.88807000003
2023-10-26,90357.71649000002
2023-10-27,90283.38649000002
2023-10-30,91197.02566000001
2023-10-31,91273.00566000002
2023-11-01,91173.45090000001
2023-11-02,91173.45090000001
2023-11-03,91173.45090000001
2023-11-06,91173.45090000001
2023-11-07,91173.45090000001
2023-11-08,91127.89308000001
2023-11-09,91213.57308
2023-11-10,90967.24308
2023-11-13,91095.76308
2023-11-14,91250.20884
2023-11-15,91250.20884
2023-11-16,91204.64808000001
